,Unnamed:_0,Unnamed:_0,placename,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves,longitude,latitude
0,0,0,Dingle,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-10.264013499999999,52.14094
1,1,1,Tralee,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.6999325,52.27131
2,2,2,Killarney,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.5044265,52.05994000000001
3,3,3,Bantry,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.4539805,51.68035
4,4,4,Mayo,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.4289369,54.01526
5,5,5,Ballycastle,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.3724643,54.279669999999996
6,6,6,Abbeyfeale,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.2970823,52.386179999999996
7,7,7,Ennistymon,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.2934951,52.940369999999994
8,8,8,Galway,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.0567905,53.270669999999996
9,9,9,Claremorris,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-9.0017356,53.72388
10,10,10,Clare,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.9811351,52.90453
11,11,11,Adare,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.7925892,52.56363
12,12,12,Charleville,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.681017599999999,52.36206
13,13,13,Mallow,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.6539164,52.13898
14,14,14,Limerick,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.6267343,52.66384
15,15,15,Loughrea,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.5660931,53.19891
16,16,16,Sligo,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.476088800000001,54.27661
17,17,17,Cork,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.4756035,51.898509999999995
18,18,18,Nenagh,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.19834,52.8635
19,19,19,Roscommon,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.1890955,53.62759000000001
20,20,20,Tipperary,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.161851400000002,52.47379
21,21,21,Donegal,0.01,0.3870967791883455,0.01,0.01,0.01,0.16666666666666669,0.7142857142857143,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.1096143,54.653830000000006
22,22,22,Leitrim,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-8.0020132,54.12469
23,23,23,Athlone,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.9406898,53.42393000000001
24,24,24,Longford,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.7932573000000005,53.72763000000001
25,25,25,Offaly,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.7122229,53.23569000000001
26,26,26,Fermanagh,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.6318728,54.343830000000004
27,27,27,Enniskillen,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.631533599999999,54.343819999999994
28,28,28,Doon,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.60964,54.185930000000006
29,29,29,Westmeath,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.4653217000000005,53.534530000000004
30,30,30,Strabane,0.01,0.3870967791883455,0.01,0.01,0.01,0.16666666666666669,0.7142857142857143,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.4633103,54.82739
31,31,31,Cavan,0.01,0.3870967791883455,0.01,0.01,0.01,0.01,0.8571428571428573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3633319,53.98972
32,32,32,Mullingar,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3401868000000015,53.525819999999996
33,33,33,Laois,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3323006999999985,52.99429
